ck2_key,ck3_key,status,confidence,note,decision_uses
select_patron_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
set_father,set_father,exact,assumed,unchanged,1
set_global_flag,set_global_variable,approx,assumed,CK3 replaced global flags with global variables,1
set_mother,set_mother,exact,assumed,unchanged,1
set_society_grandmaster,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
shield_dwarf,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
short_name,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
shou_lung_war_modify_variables_by_century_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
shou_lung_war_modify_variables_by_status_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
shou_lung_war_spawn_troops_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_fantastic_helm_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_fantastic_paladin_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_good_amaunatori_judge_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_good_deneir_scribe_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_good_helm_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_good_paladin_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_good_planewalker_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_great_helm_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_great_paladin_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
spawn_mielikki_treant_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
storm_giant,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
strixiki,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
tanarri,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
trained_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
trained_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
transfer_artifact,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,1
transfer_scaled_wealth,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
tributary_type,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
turn_vampire_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
upgrade_fair_congenital_trait_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
upgrade_fair_non_congenital_trait_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
using_cb,using_cb,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
uthgar_black_lion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_black_raven,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_blue_bear,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_elk,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_gray_wolf,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_great_worm,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_griffon,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_red_tiger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_sky_pony,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_thunderbeast,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
uthgar_tree_ghost,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
warpriests,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
z_artificer,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_barbarian,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_bard,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_cleric,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_druid,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_paladin,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_psion,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_ranger,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_sorcerer,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_warlock,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
z_wizard,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",1
